Matt Slater,3000,NEP,WR,DAL,0.507,0.195,0.39
Allen Lazard,3400,GBP,WR,SFO,13.71314,0.00686,6.86
Deebo Samuel,5100,SFO,WR,GBP,22.20889,0.01111,11.11
David Moore,3200,SEA,WR,PHI,10.31484,0.00516,5.16
Malik Turner,3000,SEA,WR,PHI,6.61669,0.00331,3.31
Emmanuel Sanders,6400,SFO,WR,GBP,26.9188,2.40816,13.84
Richie James,3000,SFO,WR,GBP,3.43828,0.00172,1.72
Kendrick Bourne,3300,SFO,WR,GBP,10.67466,0.00534,5.34
Marquise Goodwin,3200,SFO,WR,GBP,7.37631,0.00369,3.69
Hunter Renfrow,4500,OAK,WR,NYJ,19.83008,0.00992,9.92
Marcell Ateman,3000,OAK,WR,NYJ,3.31834,0.00166,1.66
Albert Wilson,3200,MIA,WR,CLE,15.91204,1.04276,7.96
Damion Ratley,3000,CLE,WR,MIA,1.17941,0.00059,0.59
Khadarel Hodge,3100,CLE,WR,MIA,4.37781,0.00219,2.19
Allen Hurns,3300,MIA,WR,CLE,17.71114,0.00886,8.86
DeVante Parker,5200,MIA,WR,CLE,25.5872,0.0128,12.8
Russell Gage,3900,ATL,WR,TBB,19.85007,0.00993,9.93
Jakeem Grant,3700,MIA,WR,CLE,13.71314,0.00686,6.86
Jarvis Landry,6300,CLE,WR,MIA,28.56635,4.34405,15.35
Rashard Higgins,3300,CLE,WR,MIA,12.29385,0.00615,6.15
Darius Slayton,5300,NYG,WR,CHI,14.75262,0.00738,7.38
Golden Tate,5700,NYG,WR,CHI,23.62818,1.51296,11.82
Sterling Shepard,4900,NYG,WR,CHI,18.33083,1.20127,9.17
Bennie Fowler,3000,NYG,WR,CHI,7.53623,0.00377,3.77
Odell Beckham,7000,CLE,WR,MIA,30.18204,6.26226,17.11
Cody Latimer,3000,NYG,WR,CHI,5.997,0.003,3
Julio Jones,8000,ATL,WR,TBB,36.75492,7.49064,21.16
Calvin Ridley,6500,ATL,WR,TBB,30.05485,2.30265,15.05
DeAndre Carter,3000,HOU,WR,IND,1.21939,0.00061,0.61
Kenny Stills,4100,HOU,WR,IND,15.29235,1.26225,7.65
Will Fuller,5300,HOU,WR,IND,20.40104,1.93127,10.67
Marcus Johnson,3400,IND,WR,HOU,8.65567,0.00433,4.33
Ashton Dulin,3000,IND,WR,HOU,2.07896,0.00104,1.04
Zach Pascal,5600,IND,WR,HOU,17.35132,0.00868,8.68
Chester Rogers,3800,IND,WR,HOU,10.37481,0.00519,5.19
DeAndre Hopkins,7500,HOU,WR,IND,36.47979,7.06428,18.99
Mike Evans,7300,TBB,WR,ATL,35.82158,4.83537,18.11
Christian Blake,3000,ATL,WR,TBB,5.53723,0.00277,2.77
Justin Hardy,3300,ATL,WR,TBB,9.995,0.005,5
Justin Watson,3000,TBB,WR,ATL,1.21939,0.00061,0.61
Scotty Miller,3100,TBB,WR,ATL,4.01799,0.00201,2.01
Breshad Perriman,3200,TBB,WR,ATL,10.83458,0.00542,5.42
Chris Godwin,7200,TBB,WR,ATL,35.33145,2.24917,17.71
Cordarrelle Patterson,3000,CHI,WR,NYG,5.45727,0.00273,2.73
Anthony Miller,3500,CHI,WR,NYG,15.41229,0.00771,7.71
Andre Roberts,3000,BUF,WR,DEN,3.69815,0.00185,1.85
Robert Foster,3000,BUF,WR,DEN,5.77711,0.00289,2.89
Kenny Golladay,6600,DET,WR,WAS,26.02698,2.36964,13.02
Isaiah McKenzie,3200,BUF,WR,DEN,9.23538,0.00462,4.62
Cole Beasley,4400,BUF,WR,DEN,21.20939,0.01061,10.61
Diontae Spencer,3000,DEN,WR,BUF,1.63918,0.00082,0.82
John Brown,6700,BUF,WR,DEN,25.52723,1.36639,12.77
Marvin Jones,6100,DET,WR,WAS,22.27824,2.18886,11.46
Marvin Hall,3000,DET,WR,WAS,3.93803,0.00197,1.97
Trey Quinn,3600,WAS,WR,DET,10.65467,0.00533,5.33
Steven Sims,3000,WAS,WR,DET,8.25587,0.00413,4.13
Paul Richardson,4000,WAS,WR,DET,13.65317,0.00683,6.83
Terry McLaurin,6000,WAS,WR,DET,21.76911,0.01089,10.89
Danny Amendola,4400,DET,WR,WAS,18.65067,0.00933,9.33
Kelvin Harmon,3300,WAS,WR,DET,12.03398,0.00602,6.02
Fred Brown,3100,DEN,WR,BUF,2.57871,0.00129,1.29
Courtland Sutton,6200,DEN,WR,BUF,24.76761,0.01239,12.39
Curtis Samuel,5400,CAR,WR,NOS,25.56721,1.89292,12.79
Donte Moncrief,3000,CAR,WR,NOS,1.03948,0.09308,0.52
DeAndrew White,3000,CAR,WR,NOS,1.87906,0.00094,0.94
D.J. Moore,6400,CAR,WR,NOS,27.76611,1.6668,13.89
Javon Wims,3000,CHI,WR,NYG,2.67866,0.00134,1.34
Allen Robinson,6500,CHI,WR,NYG,27.72726,2.6961,14.19
Taylor Gabriel,4200,CHI,WR,NYG,17.21139,1.26567,8.61
Jarius Wright,3000,CAR,WR,NOS,10.31484,0.00516,5.16
Michael Thomas,9300,NOS,WR,CAR,45.32108,8.6407,24.34
DaeSean Hamilton,3400,DEN,WR,BUF,6.27686,0.00314,3.14
Tim Patrick,3000,DEN,WR,BUF,14.9925,0.0075,7.5
Krishawn Hogan,3000,NOS,WR,CAR,1.67916,0.00084,0.84
Deonte Harris,3000,NOS,WR,CAR,2.13893,0.00107,1.07
Tre'Quan Smith,3400,NOS,WR,CAR,9.7951,0.0049,4.9
Ted Ginn,4000,NOS,WR,CAR,16.37181,1.03194,8.19
T.Y. Hilton,6600,IND,WR,HOU,22.68812,4.0664,11.96
Jonnu Smith,3600,TEN,TE,JAC,12.15392,0.00608,6.08
Nick O'Leary,2700,JAC,TE,TEN,8.15592,0.00408,4.08
Ben Koyack,2500,JAC,TE,TEN,2.834,1.09,2.18
Anthony Firkser,2800,TEN,TE,JAC,3.393,1.305,2.61
Jason Witten,3500,DAL,TE,NEP,16.35182,1.20246,8.18
Blake Jarwin,2900,DAL,TE,NEP,4.53773,0.00227,2.27
C.J. Uzomah,2500,CIN,TE,PIT,3.97801,0.00199,1.99
Tyler Eifert,3100,CIN,TE,PIT,13.09345,0.6681,6.55
Ryan Griffin,4200,NYJ,TE,OAK,17.67116,0.00884,8.84
Darren Waller,5700,OAK,TE,NYJ,26.00699,0.01301,13.01
Daniel Brown,2500,NYJ,TE,OAK,2.03898,0.00102,1.02
Vance McDonald,3500,PIT,TE,CIN,19.43028,0.00972,9.72
Nick Vannett,2500,PIT,TE,CIN,4.13793,0.00207,2.07
Matt LaCosse,2600,NEP,TE,DAL,6.47676,0.00324,3.24
Benjamin Watson,3100,NEP,TE,DAL,12.53373,0.00627,6.27
Hayden Hurst,2500,BAL,TE,LAR,9.13543,0.00457,4.57
Tyrone Swoopes,2500,SEA,TE,PHI,1.365,0.84,1.05
Nick Boyle,2700,BAL,TE,LAR,11.83408,0.00592,5.92
Mark Andrews,6100,BAL,TE,LAR,27.86606,0.01394,13.94
Tyler Higbee,2500,LAR,TE,BAL,7.13643,0.00357,3.57
Gerald Everett,4000,LAR,TE,BAL,15.03248,0.00752,7.52
Zach Ertz,6000,PHI,TE,SEA,27.71792,5.28688,15.28
Dallas Goedert,3700,PHI,TE,SEA,17.85107,0.00893,8.93
Jimmy Graham,3600,GBP,TE,SFO,16.1919,0.0081,8.1
Marcedes Lewis,2500,GBP,TE,SFO,1.65917,0.00083,0.83
George Kittle,6300,SFO,TE,GBP,24.97215,4.12705,13.99
Ross Dwelley,3700,SFO,TE,GBP,2.35882,0.00118,1.18
Jacob Hollister,4300,SEA,TE,PHI,14.07296,0.00704,7.04
Foster Moreau,2800,OAK,TE,NYJ,6.51674,0.00326,3.26
Jeremy Sprinkle,2900,WAS,TE,DET,12.03398,0.00602,6.02
Jaeden Graham,3300,ATL,TE,TBB,9.03548,0.00452,4.52
Luke Stocker,3100,ATL,TE,TBB,5.87706,0.00294,2.94
Durham Smythe,2500,MIA,TE,CLE,1.21939,0.00061,0.61
Mike Gesicki,3400,MIA,TE,CLE,17.09145,0.00855,8.55
Stephen Carlson,2500,CLE,TE,MIA,1.066,0.41,0.82
Demetrius Harris,3200,CLE,TE,MIA,7.87606,0.00394,3.94
Cameron Brate,3600,TBB,TE,ATL,11.63418,0.00582,5.82
O.J. Howard,3300,TBB,TE,ATL,11.11444,0.00556,5.56
Mo Alie-Cox,2500,IND,TE,HOU,3.43828,0.00172,1.72
Jack Doyle,3300,IND,TE,HOU,15.66165,1.38864,7.89
Jordan Akins,2600,HOU,TE,IND,10.89455,0.00545,5.45
Darren Fells,3300,HOU,TE,IND,14.95252,0.00748,7.48
Jordan Thomas,2800,HOU,TE,IND,0.44,0.44,0.44
Ben Braunecker,2700,CHI,TE,NYG,11.03448,0.00552,5.52
Kaden Smith,2500,NYG,TE,CHI,6.253,2.405,4.81
Tyler Kroft,2500,BUF,TE,DEN,7.7961,0.0039,3.9
Jeff Heuerman,2500,DEN,TE,BUF,3.55822,0.00178,1.78
Dawson Knox,3000,BUF,TE,DEN,10.5947,0.0053,5.3
T.J. Hockenson,3400,DET,TE,WAS,13.65317,0.00683,6.83
Logan Thomas,2500,DET,TE,WAS,3.11844,0.00156,1.56
Noah Fant,3900,DEN,TE,BUF,18.49075,0.00925,9.25
Josh Hill,2700,NOS,TE,CAR,4.57771,0.00229,2.29
J.P. Holtz,2500,CHI,TE,NYG,1.248,0.546,0.78
Scott Simonson,2600,NYG,TE,CHI,2.119,0.815,1.63
Chris Manhertz,2500,CAR,TE,NOS,2.09895,0.00105,1.05
Greg Olsen,4100,CAR,TE,NOS,19.53023,0.00977,9.77
Jared Cook,4500,NOS,TE,CAR,20.70964,1.80264,10.36
Eric Ebron,3700,IND,TE,HOU,16.55172,1.26684,8.28
Chris Conley,4100,JAC,FLEX,TEN,16.69165,0.00835,8.35
Leonard Fournette,7300,JAC,FLEX,TEN,29.3488,6.7184,17.68
Ryquell Armstead,4300,JAC,FLEX,TEN,6.64268,0.43989,3.41
Jonnu Smith,3600,TEN,FLEX,JAC,12.15392,0.00608,6.08
Dion Lewis,3600,TEN,FLEX,JAC,12.27206,1.74782,6.22
A.J. Brown,4700,TEN,FLEX,JAC,19.89005,0.00995,9.95
Derrick Henry,6900,TEN,FLEX,JAC,35.28235,5.17145,17.65
Devine Ozigbo,3000,JAC,FLEX,TEN,0.29985,0.00015,0.15
DJ Chark,6400,JAC,FLEX,TEN,27.44627,0.01373,13.73
Auden Tate,4100,CIN,FLEX,PIT,10.11,1.348,6.74
Diontae Johnson,5100,PIT,FLEX,CIN,13.195,5.075,10.15
